database,db_version,id,speaker,emotion,cmu_a_id,script,sentence_path,duration
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0001,bea,amused,0001,"Author of the danger trail, Philip Steels, etc.",bea/amused/amused_0001.wav,4.130068027210885
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0002,bea,amused,0002,"Not at this particular case, Tom, apologized Whittemore.",bea/amused/amused_0002.wav,3.9700226757369617
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0003,bea,amused,0003,For the twentieth time that evening the two men shook hands.,bea/amused/amused_0003.wav,5.840045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0004,bea,amused,0004,"Lord, but I'm glad to see you again, Phil.",bea/amused/amused_0004.wav,3.2900226757369615
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0005,bea,amused,0005,Will we ever forget it.,bea/amused/amused_0005.wav,2.550068027210884
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0006,bea,amused,0006,"God bless 'em, I hope I'll go on seeing them forever.",bea/amused/amused_0006.wav,5.820090702947846
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0007,bea,amused,0007,And you always want to see it in the superlative degree.,bea/amused/amused_0007.wav,4.570022675736961
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0009,bea,amused,0009,"He turned sharply, and faced Gregson across the table.",bea/amused/amused_0009.wav,4.730068027210884
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0010,bea,amused,0010,I'm playing a single hand in what looks like a losing game.,bea/amused/amused_0010.wav,4.440045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0011,bea,amused,0011,If I ever needed a fighter in my life I need one now.,bea/amused/amused_0011.wav,4.800090702947846
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0012,bea,amused,0012,Gregson shoved back his chair and rose to his feet.,bea/amused/amused_0012.wav,4.500045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0013,bea,amused,0013,"He was a head shorter than his companion, of almost delicate physique.",bea/amused/amused_0013.wav,5.470068027210885
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0014,bea,amused,0014,"Now you're coming down to business, Phil, he exclaimed.",bea/amused/amused_0014.wav,4.760090702947846
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0015,bea,amused,0015,It's the aurora borealis.,bea/amused/amused_0015.wav,2.6300680272108843
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0016,bea,amused,0016,"There's Fort Churchill, a rifle-shot beyond the ridge, asleep.",bea/amused/amused_0016.wav,4.340045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0017,bea,amused,0017,From that moment his friendship for Belize turns to hatred and jealousy.,bea/amused/amused_0017.wav,5.090022675736962
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0018,bea,amused,0018,There was a change now.,bea/amused/amused_0018.wav,2.8700680272108845
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0019,bea,amused,0019,"I followed the line of the proposed railroad, looking for chances.",bea/amused/amused_0019.wav,4.52
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0020,bea,amused,0020,Clubs and balls and cities grew to be only memories.,bea/amused/amused_0020.wav,5.380045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0021,bea,amused,0021,It fairly clubbed me into recognizing it.,bea/amused/amused_0021.wav,5.580045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0022,bea,amused,0022,Hardly were our plans made public before we were met by powerful opposition.,bea/amused/amused_0022.wav,5.740045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0023,bea,amused,0023,A combination of Canadian capital quickly organized and petitioned for the same privileges.,bea/amused/amused_0023.wav,7.650022675736961
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0024,bea,amused,0024,It was my reports from the north which chiefly induced people to buy.,bea/amused/amused_0024.wav,5.890022675736962
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0025,bea,amused,0025,I was about to do this when cooler judgment prevailed.,bea/amused/amused_0025.wav,3.8300226757369615
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0026,bea,amused,0026,It occurred to me that there would have to be an accounting.,bea/amused/amused_0026.wav,3.2700226757369615
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0027,bea,amused,0027,To my surprise he began to show actual enthusiasm in my favor.,bea/amused/amused_0027.wav,5.940045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0028,bea,amused,0028,"Robbery, bribery, fraud, ",bea/amused/amused_0028.wav,3.3400907029478457
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0029,bea,amused,0029,Their forces were already moving into the north country.,bea/amused/amused_0029.wav,3.040045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0030,bea,amused,0030,I had faith in them.,bea/amused/amused_0030.wav,3.5100226757369613
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0031,bea,amused,0031,They were three hundred yards apart.,bea/amused/amused_0031.wav,2.520090702947846
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0032,bea,amused,0032,Since then some mysterious force has been fighting us at every step.,bea/amused/amused_0032.wav,3.8200907029478457
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0033,bea,amused,0033,"He unfolded a long typewritten letter, and handed it to Gregson.",bea/amused/amused_0033.wav,5.3100680272108844
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0034,bea,amused,0034,Men of Selden's stamp don't stop at women and children.,bea/amused/amused_0034.wav,4.2300226757369614
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0035,bea,amused,0035,"He stopped, and Philip nodded at the horrified question in his eyes.",bea/amused/amused_0035.wav,3.940090702947846
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0036,bea,amused,0036,She turned in at the hotel.,bea/amused/amused_0036.wav,2.700045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0037,bea,amused,0037,I was the only one who remained sitting.,bea/amused/amused_0037.wav,1.4400453514739229
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0038,bea,amused,0038,We'll have to watch our chances.,bea/amused/amused_0038.wav,2.340045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0039,bea,amused,0039,The ship should be in within a week or ten days.,bea/amused/amused_0039.wav,3.6700680272108843
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0040,bea,amused,0040,I suppose you wonder why she is coming up here.,bea/amused/amused_0040.wav,2.7400907029478456
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0041,bea,amused,0041,Meanwhile I'll go out to breathe a spell.,bea/amused/amused_0041.wav,2.8900680272108845
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0042,bea,amused,0042,How could he explain his possession of the sketch.,bea/amused/amused_0042.wav,2.9300680272108846
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0043,bea,amused,0043,It seemed nearer to him since he had seen and talked with Gregson.,bea/amused/amused_0043.wav,4.320045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0044,bea,amused,0044,Her own betrayal of herself was like tonic to Philip.,bea/amused/amused_0044.wav,4.770068027210884
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0045,bea,amused,0045,He moved away as quietly as he had come.,bea/amused/amused_0045.wav,3.8000453514739228
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0046,bea,amused,0046,"The girl faced him, her eyes shining with sudden fear.",bea/amused/amused_0046.wav,4.300090702947846
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0047,bea,amused,0047,Close beside him gleamed the white fangs of the wolf-dog.,bea/amused/amused_0047.wav,3.200045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0048,bea,amused,0048,"He looked at the handkerchief more, closely.",bea/amused/amused_0048.wav,2.4700226757369617
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0049,bea,amused,0049,Gregson was asleep when he re-entered the cabin.,bea/amused/amused_0049.wav,3.3900226757369616
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0050,bea,amused,0050,In spite of their absurdity the words affected Philip curiously.,bea/amused/amused_0050.wav,4.390022675736962
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0051,bea,amused,0051,"The lace was of a delicate ivory color, faintly tinted with yellow.",bea/amused/amused_0051.wav,4.510022675736962
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0052,bea,amused,0052,It was a curious coincidence.,bea/amused/amused_0052.wav,1.9900680272108844
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0053,bea,amused,0053,Suddenly his fingers closed tightly over the handkerchief.,bea/amused/amused_0053.wav,4.330022675736961
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0054,bea,amused,0054,There was nothing on the rock.,bea/amused/amused_0054.wav,2.140045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0055,bea,amused,0055,"Philip stood undecided, his ears strained to catch the slightest sound.",bea/amused/amused_0055.wav,4.860090702947846
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0056,bea,amused,0056,Pearce's little eyes were fixed on him shrewdly.,bea/amused/amused_0056.wav,3.8100226757369615
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0057,bea,amused,0057,"I have no idea, replied Philip.",bea/amused/amused_0057.wav,3.2000907029478456
